Ocakavane (riadok)\ Rozoznane (stlpec);Gesto_1;Gesto_2;Gesto_3;Gesto_4;Gesto_5;Gesto_6;Lock_Unlock;Right_X;Right_Y;Right_Z;Right_Yaw;Right_Pitch;Right_Roll;Right_Custom_Mode;Right_RobotDisconnect;Right_Stop_Resume;Left_XYZ_Mode;Left_Rotation_Mode;Left_Custom_Mode;Left_Service_Mode;Left_Positive_Direction;Left_Negative_Direction;Left_Stop_Resume
Gesto_1;5;0;3;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0
Gesto_2;0;5;5;0;0;0;6;1;0;56;0;2;0;0;0;0;0;0;0;0;0;0;0
Gesto_3;0;0;5;0;0;0;0;3;0;0;0;0;12;0;2;0;0;0;0;0;0;0;0
Gesto_4;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
Gesto_5;0;0;0;12;5;13;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0
Gesto_6;0;0;0;185;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
Lock_Unlock;0;0;16;0;0;0;5;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0
Right_X;0;0;0;0;0;0;0;5;8;0;0;31;0;13;0;4;0;0;0;0;0;0;0
Right_Y;0;3;0;0;0;0;0;0;5;0;0;0;6;29;0;0;0;0;0;0;0;0;0
Right_Z;0;96;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0
Right_Yaw;0;4;0;0;0;0;0;0;0;1;5;0;0;0;0;17;0;0;0;0;0;0;0
Right_Pitch;0;0;0;0;0;0;0;0;0;0;0;5;0;70;0;0;0;0;0;0;0;0;0
Right_Roll;0;0;2;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Right_Custom_Mode;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0
Right_RobotDisconnect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;266;0;0;0;0;0;0;0
Right_Stop_Resume;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
Left_XYZ_Mode;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;0;16;0;0
Left_Rotation_Mode;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;0;0;5;0;0
Left_Custom_Mode;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0
Left_Service_Mode;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;5;0;0;0
Left_Positive_Direction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
Left_Negative_Direction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;5;0
Left_Stop_Resume;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
