Gesto;Priemer[ms];Pocet
Left_Service_Mode;2403;5
Gesto_6;7268.4;5
Right_Custom_Mode;3598.8;5
Left_Custom_Mode;2484;5
Right_Yaw;2983;5
Left_Stop_Resume;1334.2;5
Right_Roll;3001.6;5
Gesto_1;2242.4;5
Lock_Unlock;1287.2;5
Right_RobotDisconnect;4370.2;5
Left_Negative_Direction;1786.8;5
Gesto_4;2866.8;5
Left_Rotation_Mode;2111.2;5
Gesto_3;3914.4;5
Right_X;3313.2;5
Gesto_2;3494.2;5
Left_XYZ_Mode;1667;5
Right_Y;3571.8;5
Right_Stop_Resume;1204.6;5
Right_Z;4287.4;5
Left_Positive_Direction;1953.6;5
Right_Pitch;4178.6;5
Gesto_5;3224.4;5
