Ruka;Gesto;Reakcny»as[ms]
LEFT;Gesto_6;3389
RIGHT;Right_Custom_Mode;3439
LEFT;Left_Custom_Mode;1748
RIGHT;Right_Roll;3670
LEFT;Left_Stop_Resume;1149
RIGHT;Lock_Unlock;1290
LEFT;Gesto_6;3809
RIGHT;Right_Yaw;2221
LEFT;Left_Service_Mode;2538
RIGHT;Right_RobotDisconnect;3926
LEFT;Left_Custom_Mode;5144
RIGHT;Right_Custom_Mode;6050
LEFT;Gesto_4;2536
RIGHT;Right_Custom_Mode;3603
LEFT;Left_Rotation_Mode;1695
RIGHT;Gesto_3;4083
LEFT;Left_Negative_Direction;1085
RIGHT;Right_X;2762
LEFT;Left_XYZ_Mode;1417
RIGHT;Gesto_3;2420
LEFT;Gesto_4;2657
RIGHT;Right_RobotDisconnect;1195
LEFT;Left_XYZ_Mode;1866
RIGHT;Gesto_3;5069
LEFT;Left_Stop_Resume;1094
RIGHT;Right_Y;3258
LEFT;Left_Negative_Direction;4750
RIGHT;Right_Y;3467
LEFT;Gesto_6;4492
RIGHT;Right_Custom_Mode;3000
LEFT;Left_Rotation_Mode;1847
RIGHT;Right_Stop_Resume;1629
LEFT;Left_Negative_Direction;1111
RIGHT;Right_Stop_Resume;934
LEFT;Gesto_6;2340
RIGHT;Right_Stop_Resume;898
LEFT;Gesto_4;3862
RIGHT;Right_Z;5467
LEFT;Gesto_6;22312
RIGHT;Gesto_1;2865
LEFT;Left_Negative_Direction;989
RIGHT;Right_RobotDisconnect;5158
LEFT;Left_XYZ_Mode;1212
RIGHT;Right_Custom_Mode;1902
LEFT;Left_Positive_Direction;1247
RIGHT;Right_Pitch;2957
LEFT;Gesto_5;3646
RIGHT;Right_Yaw;3084
LEFT;Left_Custom_Mode;2093
RIGHT;Right_Pitch;2873
LEFT;Left_Negative_Direction;999
RIGHT;Right_X;3082
LEFT;Left_Service_Mode;1723
RIGHT;Right_Stop_Resume;1252
LEFT;Left_Service_Mode;1457
RIGHT;Gesto_2;2119
LEFT;Left_XYZ_Mode;1050
RIGHT;Right_Pitch;4326
LEFT;Gesto_5;3695
RIGHT;Right_X;3767
LEFT;Left_Stop_Resume;2189
RIGHT;Lock_Unlock;1516
LEFT;Left_XYZ_Mode;2790
RIGHT;Lock_Unlock;1408
LEFT;Gesto_4;2785
RIGHT;Gesto_1;1887
LEFT;Gesto_5;3896
RIGHT;Right_Yaw;3533
LEFT;Left_Stop_Resume;1033
RIGHT;Gesto_3;2821
LEFT;Left_Rotation_Mode;1461
RIGHT;Gesto_1;2516
LEFT;Gesto_5;1980
RIGHT;Right_RobotDisconnect;3439
LEFT;Left_Rotation_Mode;1867
RIGHT;Gesto_2;2830
LEFT;Left_Positive_Direction;1666
RIGHT;Right_Z;4066
LEFT;Left_Positive_Direction;2994
RIGHT;Gesto_1;1903
LEFT;Gesto_5;2905
RIGHT;Right_Pitch;2034
LEFT;Left_Custom_Mode;2044
RIGHT;Right_Z;4023
LEFT;Left_Service_Mode;3943
RIGHT;Right_Roll;2261
LEFT;Left_Stop_Resume;1206
RIGHT;Right_RobotDisconnect;8133
LEFT;Left_Positive_Direction;2789
RIGHT;Right_Pitch;8703
LEFT;Gesto_4;2494
RIGHT;Gesto_1;2041
LEFT;Left_Positive_Direction;1072
RIGHT;Right_Roll;3347
LEFT;Left_Rotation_Mode;3686
RIGHT;Right_Roll;2612
LEFT;Left_Custom_Mode;1391
RIGHT;Right_Z;4812
LEFT;Left_Service_Mode;2354
RIGHT;Right_Stop_Resume;1310
RIGHT;Right_X;3950
RIGHT;Gesto_2;3990
RIGHT;Right_Yaw;3625
RIGHT;Right_Y;2820
RIGHT;Right_X;3005
RIGHT;Gesto_3;5179
RIGHT;Right_Roll;3118
RIGHT;Right_Y;4891
RIGHT;Lock_Unlock;2219
RIGHT;Lock_Unlock;3
RIGHT;Gesto_2;2685
RIGHT;Right_Y;3423
RIGHT;Right_Z;3069
RIGHT;Gesto_2;5847
RIGHT;Right_Yaw;2452
