Timestamp CaptoGlove4305;Pinky Bending;Ring Bending;Middle Bending;Index Bending;Thumb Bending
13: 58: 45.434;0,888025;0,884563;0,941612;0,898492;0,644637
13: 58: 45.490;0,905539;0,916214;0,9234;0,9234;0,642124
13: 58: 45.491;0,905539;0,916214;0,9234;0,9234;0,642124
13: 58: 45.495;0,888025;0,927014;0,941612;0,902009;0,657351
13: 58: 45.546;0,912642;0,934284;0,952711;0,8915;0,63962
13: 58: 45.546;0,927014;0,945297;0,930642;0,912642;0,654788
13: 58: 45.588;0,927014;0,945297;0,930642;0,912642;0,654788
13: 58: 45.645;0,888025;0,960184;0,902009;0,888025;0,652236
13: 58: 45.702;0,927014;0,967714;0,941612;0,9198;0,637127
13: 58: 45.721;0,905539;0,971502;0,952711;0,898492;0,649693
13: 58: 45.739;0,909084;0,971502;0,909084;0,916214;0,649693
13: 58: 45.757;0,909084;0,971502;0,909084;0,916214;0,649693
13: 58: 45.795;0,927014;0,971502;0,902009;0,898492;0,634643
13: 58: 45.796;0,927014;0,971502;0,902009;0,898492;0,634643
13: 58: 45.814;0,905539;0,971502;0,9234;0,884563;0,642124
13: 58: 45.832;0,888025;0,975304;0,941612;0,909084;0,649693
13: 58: 45.851;0,888025;0,975304;0,941612;0,909084;0,649693
13: 58: 45.889;0,912642;0,975304;0,945297;0,916214;0,634643
13: 58: 45.907;0,930642;0,975304;0,9234;0,89499;0,652236
13: 58: 45.926;0,930642;0,975304;0,905539;0,902009;0,634643
13: 58: 45.945;0,930642;0,975304;0,905539;0,902009;0,634643
13: 58: 45.982;0,905539;0,975304;0,905539;0,9198;0,649693
13: 58: 45.983;0,8915;0,971502;0,927014;0,902009;0,644637
13: 58: 46.001;0,8915;0,971502;0,927014;0,902009;0,644637
13: 58: 46.020;0,916214;0,971502;0,945297;0,888025;0,632168
13: 58: 46.039;0,9198;0,975304;0,934284;0,912642;0,649693
13: 58: 46.076;0,9198;0,975304;0,934284;0,912642;0,649693
13: 58: 46.077;0,89499;0,975304;0,9198;0,902009;0,634643
13: 58: 46.114;0,89499;0,975304;0,9198;0,902009;0,634643
13: 58: 46.114;0,902009;0,971502;0,905539;0,888025;0,649693
13: 58: 46.132;0,9234;0,963942;0,902009;0,909084;0,64716
13: 58: 46.170;0,9234;0,963942;0,902009;0,909084;0,64716
13: 58: 46.207;0,909084;0,948997;0,927014;0,9234;0,634643
13: 58: 46.208;0,8915;0,934284;0,945297;0,898492;0,652236
13: 58: 46.226;0,902009;0,9198;0,941612;0,8915;0,634643
13: 58: 46.264;0,902009;0,9198;0,941612;0,8915;0,634643
13: 58: 46.264;0,9234;0,902009;0,916214;0,912642;0,649693
13: 58: 46.282;0,905539;0,8915;0,905539;0,89499;0,634643
13: 58: 46.301;0,905539;0,8915;0,905539;0,89499;0,634643
13: 58: 46.320;0,888025;0,884563;0,9198;0,888025;0,63962
13: 58: 46.339;0,909084;0,881114;0,941612;0,909084;0,649693
13: 58: 46.357;0,909084;0,881114;0,941612;0,909084;0,649693
13: 58: 46.395;0,927014;0,881114;0,948997;0,902009;0,632168
13: 58: 46.396;0,927014;0,881114;0,948997;0,902009;0,632168
13: 58: 46.414;0,905539;0,877679;0,927014;0,888025;0,649693
13: 58: 46.432;0,888025;0,877679;0,909084;0,909084;0,634643
13: 58: 46.451;0,888025;0,877679;0,909084;0,909084;0,634643
13: 58: 46.489;0,909084;0,877679;0,909084;0,9198;0,644637
13: 58: 46.489;0,927014;0,877679;0,934284;0,89499;0,649693
13: 58: 46.507;0,927014;0,877679;0,934284;0,89499;0,649693
13: 58: 46.526;0,909084;0,881114;0,948997;0,898492;0,634643
13: 58: 46.545;0,909084;0,881114;0,948997;0,898492;0,634643
13: 58: 46.582;0,8915;0,884563;0,941612;0,916214;0,652236
13: 58: 46.583;0,902009;0,888025;0,9198;0,898492;0,634643
13: 58: 46.601;0,902009;0,888025;0,9198;0,898492;0,634643
13: 58: 46.620;0,9234;0,8915;0,905539;0,884563;0,652236
13: 58: 46.639;0,9234;0,898492;0,902009;0,909084;0,642124
