Timestamp;Thumb Bending;Index Bending;Middle Bending;Ring Bending;Pinky Bending
15: 44: 11.964;0.788235;0.494118;0;0;0.364706
15: 44: 12.021;0.545098;0.501961;0;0;0.564706
15: 44: 12.021;0.6;0.513726;0;0;0.364706
15: 44: 12.077;0.6;0.513726;0;0;0.364706
15: 44: 12.133;0.121569;0.501961;0;0;0.0156863
15: 44: 12.152;0.545098;0.501961;0;0;0.701961
15: 44: 12.171;0.545098;0.501961;0;0;0.701961
15: 44: 12.190;0.223529;0.513726;0;0;0.564706
15: 44: 12.208;0.6;0.513726;0;0;0.364706
15: 44: 12.227;0.6;0.513726;0;0;0.364706
15: 44: 12.246;0.121569;0.501961;0;0;0.564706
15: 44: 12.265;0.121569;0.501961;0;0;0.564706
15: 44: 12.283;0.486275;0.509804;0;0;0.364706
15: 44: 12.302;0.203922;0.521569;0;0;0.564706
15: 44: 12.321;0.203922;0.521569;0;0;0.564706
15: 44: 12.340;0.6;0.513726;0;0;0.364706
15: 44: 12.358;0.121569;0.501961;0;0;0.564706
15: 44: 12.377;0.121569;0.501961;0;0;0.564706
15: 44: 12.396;0.6;0.513726;0;0;0.364706
15: 44: 12.415;0.6;0.513726;0;0;0.364706
15: 44: 12.433;0.364706;0.517647;0;0;0.564706
15: 44: 12.452;0.203922;0.505882;0;0;0.364706
15: 44: 12.471;0.203922;0.505882;0;0;0.364706
15: 44: 12.490;0.886275;0.509804;0;0;0.564706
15: 44: 12.508;0.364706;0.517647;0;0;0.364706
15: 44: 12.527;0.364706;0.517647;0;0;0.364706
15: 44: 12.546;0.792157;0.505882;0;0;0.156863
15: 44: 12.565;0.792157;0.505882;0;0;0.156863
15: 44: 12.583;0.545098;0.501961;0;0;0.364706
15: 44: 12.602;0.6;0.513726;0;0;0.564706
15: 44: 12.621;0.6;0.513726;0;0;0.564706
15: 44: 12.640;0.792157;0.505882;0;0;0.364706
15: 44: 12.658;0.941176;0.498039;0;0;0.564706
15: 44: 12.677;0.941176;0.498039;0;0;0.564706
15: 44: 12.715;0.486275;0.509804;0;0;0.364706
15: 44: 12.733;0.0235294;0.517647;0;0;0.564706
15: 44: 12.752;0.203922;0.505882;0;0;0.364706
15: 44: 12.771;0.203922;0.505882;0;0;0.364706
15: 44: 12.790;0.6;0.513726;0;0;0.564706
15: 44: 12.827;0.203922;0.521569;0;0;0.364706
15: 44: 12.846;0.792157;0.505882;0;0;0.564706
15: 44: 12.865;0.792157;0.505882;0;0;0.364706
15: 44: 12.883;0.792157;0.505882;0;0;0.364706
15: 44: 12.902;0.364706;0.517647;0;0;0.564706
15: 44: 12.921;0.364706;0.517647;0;0;0.564706
15: 44: 12.940;0.486275;0.509804;0;0;0.364706
15: 44: 12.958;0.545098;0.501961;0;0;0.564706
15: 44: 12.977;0.545098;0.501961;0;0;0.564706
15: 44: 13.015;0.6;0.513726;0;0;0.364706
15: 44: 13.033;0.364706;0.517647;0;0;0.505882
15: 44: 13.052;0.203922;0.505882;0;0;0.584314
15: 44: 13.090;0.203922;0.505882;0;0;0.584314
